user_id,display_name,reputation,link
3121439,rubito,81,http://stackoverflow.com/users/3121439/rubito
3121439,rubito,81,http://stackoverflow.com/users/3121439/rubito
6206935,Sam c21,80,http://stackoverflow.com/users/6206935/sam-c21
1609464,nwly,78,http://stackoverflow.com/users/1609464/nwly
6117337,Alex Savin,75,http://stackoverflow.com/users/6117337/alex-savin
3415821,Hrishikesh Goyal,70,http://stackoverflow.com/users/3415821/hrishikesh-goyal
4313321,Gilberto,69,http://stackoverflow.com/users/4313321/gilberto
5320219,johnblund,61,http://stackoverflow.com/users/5320219/johnblund
3316031,spiderface,53,http://stackoverflow.com/users/3316031/spiderface
5946185,rey,53,http://stackoverflow.com/users/5946185/rey
5550203,Arnold Klein,53,http://stackoverflow.com/users/5550203/arnold-klein
2402501,JavaBeginner,51,http://stackoverflow.com/users/2402501/javabeginner
1590555,gudvinr,50,http://stackoverflow.com/users/1590555/gudvinr
5239351,bencampbell_14,47,http://stackoverflow.com/users/5239351/bencampbell-14
5093471,D14,45,http://stackoverflow.com/users/5093471/d14
3822779,racekiller,43,http://stackoverflow.com/users/3822779/racekiller
4847498,Jeremy Barnes,42,http://stackoverflow.com/users/4847498/jeremy-barnes
5904495,user324,41,http://stackoverflow.com/users/5904495/user324
2857982,EmEs,40,http://stackoverflow.com/users/2857982/emes
5754771,Alexander Eser,36,http://stackoverflow.com/users/5754771/alexander-eser
5754771,Alexander Eser,36,http://stackoverflow.com/users/5754771/alexander-eser
5718518,Sahil,33,http://stackoverflow.com/users/5718518/sahil
6412947,ZICHAO LI,32,http://stackoverflow.com/users/6412947/zichao-li
1736542,vino88,29,http://stackoverflow.com/users/1736542/vino88
6186122,Patrick,28,http://stackoverflow.com/users/6186122/patrick
6186122,Patrick,28,http://stackoverflow.com/users/6186122/patrick
6186122,Patrick,28,http://stackoverflow.com/users/6186122/patrick
6845969,Kai,25,http://stackoverflow.com/users/6845969/kai
3972916,abou,25,http://stackoverflow.com/users/3972916/abou
6293038,dayum,23,http://stackoverflow.com/users/6293038/dayum
6806330,Molly Zhao,23,http://stackoverflow.com/users/6806330/molly-zhao
3854325,user3854325,22,http://stackoverflow.com/users/3854325/user3854325
1949548,Snake_A,21,http://stackoverflow.com/users/1949548/snake-a
3937192,user37970,21,http://stackoverflow.com/users/3937192/user37970
5882284,Madhulika Chaudhry,19,http://stackoverflow.com/users/5882284/madhulika-chaudhry
6735434,Brad Johnson,18,http://stackoverflow.com/users/6735434/brad-johnson
6835733,CronosVirus00,18,http://stackoverflow.com/users/6835733/cronosvirus00
6846554,skafetaur,18,http://stackoverflow.com/users/6846554/skafetaur
6835733,CronosVirus00,18,http://stackoverflow.com/users/6835733/cronosvirus00
6890604,semenoff,17,http://stackoverflow.com/users/6890604/semenoff
5355800,Jaime,17,http://stackoverflow.com/users/5355800/jaime
6624389,pratish_v,17,http://stackoverflow.com/users/6624389/pratish-v
5855283,Bryan Downing,16,http://stackoverflow.com/users/5855283/bryan-downing
6163540,Julio Arriaga,15,http://stackoverflow.com/users/6163540/julio-arriaga
6163540,Julio Arriaga,15,http://stackoverflow.com/users/6163540/julio-arriaga
6163540,Julio Arriaga,15,http://stackoverflow.com/users/6163540/julio-arriaga
2408288,Joseph M Njuguna,13,http://stackoverflow.com/users/2408288/joseph-m-njuguna
6827430,Sam Billington,13,http://stackoverflow.com/users/6827430/sam-billington
6860006,kozowh,11,http://stackoverflow.com/users/6860006/kozowh
6901679,Doc,10,http://stackoverflow.com/users/6901679/doc
3278309,JohnB,10,http://stackoverflow.com/users/3278309/johnb
6865626,lucas305,10,http://stackoverflow.com/users/6865626/lucas305
6651422,David Sung,6,http://stackoverflow.com/users/6651422/david-sung
6893963,Louis Ng,6,http://stackoverflow.com/users/6893963/louis-ng
6852127,Error Replicator,6,http://stackoverflow.com/users/6852127/error-replicator
6854280,ZSmyth,6,http://stackoverflow.com/users/6854280/zsmyth
6529170,Tarun,6,http://stackoverflow.com/users/6529170/tarun
6863702,coms,3,http://stackoverflow.com/users/6863702/coms
5658036,ahmedawaji,3,http://stackoverflow.com/users/5658036/ahmedawaji
6838716,Yamila Omar,3,http://stackoverflow.com/users/6838716/yamila-omar
6873010,corio,1,http://stackoverflow.com/users/6873010/corio
6620395,sebastian44,1,http://stackoverflow.com/users/6620395/sebastian44
6843601,SD7Codr,1,http://stackoverflow.com/users/6843601/sd7codr
6672237,kuatroka,1,http://stackoverflow.com/users/6672237/kuatroka
6835979,Jay Huang,1,http://stackoverflow.com/users/6835979/jay-huang
