,name,funny,cool,useful
0,Harald,62890,71737,75529
1,Rohlin,41942,43667,44652
2,Michael,38885,41733,47003
3,Brian,32080,40085,41391
4,Rodney,34134,36147,37592
5,Victor,29586,32709,44936
6,Fox,36881,32126,34397
7,Amy,27507,33885,37891
8,Peter,38472,25223,31824
9,Ed,27854,31196,35227
10,Jessica,23284,33627,34962
11,Candice,29337,28112,33289
12,Michelangelo,25666,31178,33387
13,Anthony,24204,30320,35259
14,Michelle,26635,29189,29752
