QuesID,    AnsCount,    QuesTitle
39749152,2,concatenate excel datas with python or Excel
39737545,1,Create new database from chunk reader in pandas
39706977,0,Writing long number to excel from pandas
39685518,1,Trying to use pandas pivot like excel pivot
39638533,0,how to fill color cells with 2 percentage data from other cells
39528448,1,How to call value from excel on python
39524570,2,"How to get rid of row numbers, pd.read_excel?"
39509803,1,Pandas: KeyError when attempting to print value from df.loc in Excel file
