,restaurant,count
0,Mexican,2578
1,Italian,1409
2,Chinese,1368
3,Japanese,712
4,Indian,238
5,Korean,183
6,Middle Eastern,166
7,French,130
8,Spanish,50
9,German,32
10,Turkish,32
11,Brazilian,22
12,Portuguese,3
13,Australian,2
14,American,0
