user_id,display_name,reputation,tags,link
328725,posdef,3264,"['java', 'multithreading', 'swing', 'python', 'r', 'collections', 'string', 'scala', 'matlab', 'eclipse', 'functional-programming', 'algorithm', 'list', 'javascript', 'io', 'math', 'python-3.x', 'regex', 'threadpool', 'java-web-start', 'jung', 'applet', 'arrays', 'concurrency', 'generics', 'file-io', 'debugging', 'http', 'hash', 'jar']",http://stackoverflow.com/users/328725/posdef
2146894,Ben,3255,"['r', 'python', 'data.table', 'django', 'vba', 'ggplot2', 'pandas', 'excel', 'sql', 'python-3.x', 'ms-access', 'javascript', 'machine-learning', 'html', 'django-views', 'twitter-bootstrap', 'regex', 'scikit-learn', 'shiny', 'django-forms', 'database', 'database-design', 'excel-vba', 'heroku', 'jquery', 'php', 'ggmap', 'django-models', 'dataframe', 'django-allauth']",http://stackoverflow.com/users/2146894/ben
48956,user48956,3020,"['scala', 'c++', 'python', 'spring', 'c', 'android', 'generics', 'linux', 'spring-mvc', 'java', 'mongodb', 'orientdb', 'html', 'bluetooth', 'templates', 'scala-reflect', 'serialization', 'reflection', 'json', 'javascript', 'apache-spark', 'bash', 'ios', 'jackson', 'intellij-idea', 'mysql', 'linker', 'mechanicalturk', 'sockets', 'scala-collections']",http://stackoverflow.com/users/48956/user48956
213334,sfactor,2885,"['python', 'perl', 'c', 'pandas', 'r', 'linux', 'bash', 'parsing', 'string', 'data-analysis', 'command-line', 'regex', 'python-2.7', 'statistics', 'gcc', 'json', 'user-agent', 'perl-module', 'plot', 'osx', 'shell', 'sockets', 'text-parsing', 'http', 'd3.js', 'datetime', 'file-io', 'csv', 'arrays', 'javascript']",http://stackoverflow.com/users/213334/sfactor
2251840,Student T,2789,"['iphone', 'objective-c', 'c++', 'ios', 'r', 'chess', 'c#', 'c', 'xcode', 'ipad', 'python', 'quantlib', 'java', 'facebook', 'html', 'css', 'ggplot2', '.net', 'algorithm', 'alpha-beta-pruning', 'core-animation', 'sql-server', 'visual-studio', 'windows', 'unix', 'silverlight', 'sql', 'osx', 'linq-to-entities', 'cocoa-touch']",http://stackoverflow.com/users/2251840/student-t
420892,Cedric H.,2631,"['c++', 'cassandra', 'python', 'apache-spark', 'ruby', 'c', 'apache-spark-sql', 'arrays', 'matplotlib', 'nosql', 'pyspark', 'php', 'scala', 'avro', 'cql', 'gcc', 'spark-cassandra-connector', 'templates', 'g++', 'java', 'pyspark-sql', 'wolfram-mathematica', 'numpy', 'class', 'cqlsh', 'data-modeling', 'datastax', 'emacs', 'cassandra-2.2', 'cassandra-2.0']",http://stackoverflow.com/users/420892/cedric-h
3864281,Nras,2537,"['matlab', 'python', 'matrix', 'plot', 'pandas', 'python-2.7', 'matplotlib', 'list', 'loops', 'for-loop', 'numpy', 'arrays', 'dictionary', 'indexing', 'octave', 'merge', 'optimization', 'string', 'vector', 'vectorization', 'random', 'svn', 'performance', 'cell', 'extrapolation', 'mean', 'interpolation', 'average', 'colors', 'combinatorics']",http://stackoverflow.com/users/3864281/nras
4759209,farhawa,2413,"['python', 'numpy', 'arrays', 'pandas', 'javascript', 'list', 'python-2.7', 'django', 'cassandra', 'scikit-learn', 'csv', 'd3.js', 'dataframe', 'html', 'dictionary', 'string', 'matrix', 'optimization', 'matplotlib', 'python-3.x', 'cql', 'css', 'database', 'ajax', 'apache-spark', 'file', 'scipy', 'plot', 'machine-learning', 'apache']",http://stackoverflow.com/users/4759209/farhawa
992600,adhg,2304,"['java', 'eclipse', 'r', 'concurrency', 'multithreading', 'c++', 'graph', 'gwt', 'python', 'swing', 'lucene', 'jtextpane', 'opencv', 'function', 'ggplot2', 'visualization', 'objective-c', 'string', 'dataframe', 'performance', 'producer-consumer', 'ios', 'java.util.concurrent', 'installation', 'javascript', 'list', 'logging', 'methods', 'mkmapview', 'pdf']",http://stackoverflow.com/users/992600/adhg
405818,Amit,1822,"['asp.net', 'c#', 'jquery', 'javascript', 'sql', 'wcf', 'sql-server', '.net', 'node.js', 'sql-server-2005', 'vb.net', 'html', 'globalization', 'crystal-reports', 'css', 'appcelerator', 'python', 'ios', 'iphone', 'java', 'json', 'oop', 'string', 'sqlite', 'appcelerator-mobile', '.net-3.5', 'asp.net-mvc', 'drop-down-menu', 'cordova', 'ibm-mobilefirst']",http://stackoverflow.com/users/405818/amit
